index,Sepal.Width*10,Petal.Length,other,Petal.Width,random
1,10,1.4,96,0.5,9.03
2,10,1.4,45,10,8.04
3,10,1.3,31,0.2,6.87
4,3.1,1.5,36,0.2,5.2
5,3.6,1.4,39,0.2,5.94
6,3.9,1.7,34,0.4,6.9
7,3.4,1.4,34,0.3,8.49
8,3.4,1.5,29,0.2,7.63
9,2.9,1.4,31,0.2,9.34
10,3.1,1.5,37,0.1,9.86
11,3.7,1.5,34,0.2,5.42
12,3.4,1.6,30,0.2,9.67
13,3,1.4,30,0.1,7.45
14,3,1.1,40,0.1,5.92
15,4,1.2,44,0.2,5.18
16,4.4,1.5,39,0.4,7.2
17,3.9,1.3,35,0.4,9.69
18,3.5,1.4,38,0.3,5.29
19,3.8,1.7,38,0.3,5.34
20,3.8,1.5,34,0.3,6.85
21,3.4,1.7,37,0.2,8.38
22,3.7,1.5,36,0.4,9.52
23,3.6,1,33,0.2,7.53
24,3.3,1.7,34,0.5,5.71
25,3.4,1.9,30,0.2,6.53
26,3,1.6,34,0.2,6.48
27,3.4,1.6,35,0.4,8.62
28,3.5,1.5,34,0.2,6.15
29,3.4,1.4,32,0.2,9.27
30,3.2,1.6,31,0.2,6.12
31,3.1,1.6,34,0.2,9.21
32,3.4,1.5,41,0.4,7.35
33,4.1,1.5,42,0.1,9.64
34,4.2,1.4,31,0.2,9.49
35,3.1,1.5,32,0.2,7.38
36,3.2,1.2,35,0.2,5.46
37,3.5,1.3,36,0.2,7.91
38,3.6,1.4,30,0.1,8.52
39,3,1.3,34,0.2,6.5
40,3.4,1.5,35,0.2,9.69
41,3.5,1.3,23,0.3,7.71
42,2.3,1.3,32,0.3,8.49
43,3.2,1.3,35,0.2,9.83
44,3.5,1.6,38,0.6,7.18
45,3.8,1.9,30,0.4,7.96
46,3,1.4,38,0.3,8.06
47,3.8,1.6,32,0.2,5.61
48,3.2,1.4,37,0.2,5.39
49,3.7,1.5,33,0.2,6.03
50,3.3,1.4,32,0.2,5.71
51,3.2,4.7,32,1.4,7.9
52,3.2,4.5,31,1.5,5.24
53,3.1,4.9,23,1.5,6.38
54,2.3,4,28,1.3,7.15
55,2.8,4.6,28,1.5,7.68
56,2.8,4.5,33,1.3,6.79
57,3.3,4.7,24,1.6,7.46
58,2.4,3.3,29,1,5.94
59,2.9,4.6,27,1.3,9.28
60,2.7,3.9,20,1.4,5.17
61,2,3.5,30,1,9.68
62,3,4.2,22,1.5,7.88
63,2.2,4,29,1,9.49
64,2.9,4.7,29,1.4,7.01
65,2.9,3.6,31,1.3,6.9
66,3.1,4.4,30,1.4,6.28
67,3,4.5,27,1.5,7.33
68,2.7,4.1,22,1,8.74
69,2.2,4.5,25,1.5,5.12
70,2.5,3.9,32,1.1,5.98
71,3.2,4.8,28,1.8,9.19
72,2.8,4,25,1.3,8.39
73,2.5,4.9,28,1.5,6.72
74,2.8,4.7,29,1.2,5.48
75,2.9,4.3,30,1.3,7.91
76,3,4.4,28,1.4,5.55
77,2.8,4.8,30,1.4,5.21
78,3,5,29,1.7,7.46
79,2.9,4.5,26,1.5,5.87
80,2.6,3.5,24,1,7.94
81,2.4,3.8,24,1.1,8.49
82,2.4,3.7,27,1,5.24
83,2.7,3.9,27,1.2,5.15
84,2.7,5.1,30,1.6,7.31
85,3,4.5,34,1.5,8.38
86,3.4,4.5,31,1.6,7.57
87,3.1,4.7,23,1.5,8.11
88,2.3,4.4,30,1.3,6.31
89,3,4.1,25,1.3,9.69
90,2.5,4,26,1.3,9.26
91,2.6,4.4,30,1.2,8.97
92,3,4.6,26,1.4,6.84
93,2.6,4,23,1.2,7.48
94,2.3,3.3,27,1,5.3
95,2.7,4.2,30,1.3,7.99
96,3,4.2,29,1.2,7.27
97,2.9,4.2,29,1.3,8.18
98,2.9,4.3,25,1.3,5.72
99,2.5,3,28,1.1,9.14
100,2.8,4.1,33,1.3,8.63
101,3.3,6,27,2.5,6.22
102,2.7,5.1,30,1.9,8.49
103,3,5.9,29,2.1,8.55
104,2.9,5.6,30,1.8,5.51
105,3,5.8,30,2.2,9.83
106,3,6.6,25,2.1,7.62
107,2.5,4.5,29,1.7,5.57
108,2.9,6.3,25,1.8,7.48
109,2.5,5.8,36,1.8,6.86
110,3.6,6.1,32,2.5,5.86
111,3.2,5.1,27,2,9.27
112,2.7,5.3,30,1.9,8.41
113,3,5.5,25,2.1,9.72
114,2.5,5,28,2,5.39
115,2.8,5.1,32,2.4,7.53
116,3.2,5.3,30,2.3,5.35
117,3,5.5,38,1.8,8.99
118,3.8,6.7,26,2.2,6.87
119,2.6,6.9,22,2.3,7.59
120,2.2,5,32,1.5,9.29
121,3.2,5.7,28,2.3,7.84
122,2.8,4.9,28,2,6.74
123,2.8,6.7,27,2,8.18
124,2.7,4.9,33,1.8,8.74
125,3.3,5.7,32,2.1,8.77
126,3.2,6,28,1.8,7.97
127,2.8,4.8,30,1.8,7.78
128,3,4.9,28,1.8,7.23
129,2.8,5.6,30,2.1,7.15
130,3,5.8,28,1.6,6.81
131,2.8,6.1,38,1.9,7.42
132,3.8,6.4,28,2,7.28
133,2.8,5.6,28,2.2,5.91
134,2.8,5.1,26,1.5,8.51
135,2.6,5.6,30,1.4,8.94
136,3,6.1,34,2.3,8.35
137,3.4,5.6,31,2.4,9.59
138,3.1,5.5,30,1.8,7.64
139,3,4.8,31,1.8,5.23
140,3.1,5.4,31,2.1,9.7
141,3.1,5.6,31,2.4,5.73
142,3.1,5.1,27,2.3,6.15
143,2.7,5.1,32,1.9,7.47
144,3.2,5.9,33,2.3,6.19
145,3.3,5.7,30,2.5,6.59
146,3,5.2,25,2.3,9.25
147,2.5,5,30,1.9,6.54
148,3,5.2,34,2,5.18
149,3.4,5.4,30,2.3,5.57
150,3,5.1,31,1.8,6.8
151,3,5.1,32,1.8,7.36
152,3,5.1,33,1.8,6.29
153,3,5.1,34,1.8,8.18
154,3,5.1,35,1.8,8.71
155,3,5.1,36,1.8,8.09
156,3,5.1,37,1.8,9.74
157,3,5.1,38,1.8,6.02
158,3,5.1,39,1.8,5.15
159,3,5.1,40,1.8,7.38
160,3,5.1,41,1.8,9.12
161,3,5.1,42,1.8,8.89
162,3,5.1,43,1.8,5.82
163,3,5.1,44,1.8,7.98
164,3,5.1,45,1.8,9.39
165,3,5.1,46,1.8,8.42
166,3,5.1,47,1.8,7.15
167,3,5.1,48,1.8,6.78
168,3,5.1,49,1.8,6.44
